serial no,title,link,author
01_03_2024_17,"Two bulls, two markets, two stories",https://drive.google.com/file/d/1rMbO7sdRMlLAfubWyk99NYQrQb6huKlg/view?usp=drivesdk,"[""Ruchir Sharma""]"
01_03_2024_18,Old and older US presidents,https://drive.google.com/file/d/1ndFAOjeYmDh7rnn15RafYoIB43MN9dEj/view?usp=drivesdk,"[""Sushil Kutty""]"
01_03_2024_19,Caught in the net,https://drive.google.com/file/d/1LELg6Azf6RVAZL02kT5TETtX7xP8SGkT/view?usp=drivesdk,"[""T M Krishna""]"
01_03_2024_20,Invaluable spaces,https://drive.google.com/file/d/1QOea3vfqwX0uK0_5ayISfFlcvgbydaRJ/view?usp=drivesdk,"[""Maitrayee Deka""]"
01_03_2024_21,Snapshots of a crucial shift,https://drive.google.com/file/d/19WVkuCyANiFnSVKvDKDu-8E_aC_3ShmN/view?usp=drivesdk,"[""Satish Singh""]"
01_03_2024_22,The purple panic in our paddy fields,https://drive.google.com/file/d/1c6GlsD634FPUk9XJ_wUfiZ-htO1ZXJAI/view?usp=drivesdk,"[""Manoj Sumati R Borkar""]"
01_03_2024_23,Gossip therapy,https://drive.google.com/file/d/1sp0RdfJY40tmxtQ2rSn1YzQ8V1Kq_Obp/view?usp=drivesdk,"[""Jas Kohli""]"
01_03_2024_24,Is right to equality leading to inequality?,https://drive.google.com/file/d/1at1zzHZZnvlp4HB4Hyb7Jj9nqhBn_itZ/view?usp=drivesdk,"[""Mousumi Kalita Sachdeva""]"
01_03_2024_25,Soaring into the cosmos,https://drive.google.com/file/d/11Ikoh3VE2E3i4VHyLbvuPqzni3vwaXiT/view?usp=drivesdk,"[""Anonymous""]"
01_03_2024_26,Should justice defer to geriatric prisoners?,https://drive.google.com/file/d/1kVRIK49cCOGM4fvAufR_WEpk_4OVPCHu/view?usp=drivesdk,"[""S Murlidharan""]"
01_03_2024_27,The BMC and the Gokhale Bridge- a dark comedy,https://drive.google.com/file/d/1lR9UOh0BprhnPrnuB0cTqWg_K0mlD20q/view?usp=drivesdk,"[""Smruti Koppikar""]"
01_03_2024_28,Understanding the world of the informal waste picker,https://drive.google.com/file/d/1UysARm147ou7wzkmhUODF4f-oio3SOnG/view?usp=drivesdk,"[""Neethi P"", ""Drupad U""]"
01_03_2024_29,"E-evidence, new criminal law, its implementation",https://drive.google.com/file/d/1cvcGyfyARlRayISrJ1EIwCqkH5s7785c/view?usp=drivesdk,"[""R K Vij""]"
01_03_2024_30,Should Minimum Support Price be legalised?,https://drive.google.com/file/d/1olp6uWzLD8Xubx5P8p6Gq-RfXLMJ5asP/view?usp=drivesdk,"[""Lakhwinder Singh"", ""Siraj Hussain""]"
01_03_2024_31,Is NATO membership in the cards for Ukraine?,https://drive.google.com/file/d/1-I9pBG1yJVCOxK8Kmv_5S2epVETsV-4F/view?usp=drivesdk,"[""Garimella Subramaniam""]"
01_03_2024_32,On cross-voting in Rajya Sabha elections,https://drive.google.com/file/d/1pgXYVagwr4MJ6l6sZRgEWKLZ3or766Mu/view?usp=drivesdk,"[""Rangarajan R""]"
01_03_2024_33,How `Aatmapamphlet' engages with caste through the eyes of a teenager,https://drive.google.com/file/d/1VGa_V-on3Jqx2tWdst61X1HiE467TWWX/view?usp=drivesdk,"[""Harish S Wankhede""]"
01_03_2024_34,Buffet questions some accounting conventions,https://drive.google.com/file/d/1w3JrllbdXxApaoKfMvuhA5gnbKJcX-JM/view?usp=drivesdk,"[""Mohan R Lavi""]"
01_03_2024_35,Diversity will lift workplace outcomes,https://drive.google.com/file/d/1CVNjQYscfD33B75TaAzN37hKUTydBlMi/view?usp=drivesdk,"[""Vipin Sondhi"", ""Shivani Sharma""]"
01_03_2024_36,The piquant case of a successful maternity benefit scheme,https://drive.google.com/file/d/1dcDTs92oOwE4XYkeeVf-NfDaOIvgi6zx/view?usp=drivesdk,"[""Debasis Barik"", ""Sonalde Desai""]"
01_03_2024_37,The dharma of a regulator,https://drive.google.com/file/d/1dqpaNxltj6xCjSHwnpDquSDvrfAZpnrk/view?usp=drivesdk,"[""Pratip Kar""]"
01_03_2024_38,Why advisory panels?,https://drive.google.com/file/d/1ifQQU0wilVSkpdaI65ZJUPAAiM68EO5s/view?usp=drivesdk,"[""Srinath Sridharan""]"
01_03_2024_39,AI and competition: Old wine in new bottles?,https://drive.google.com/file/d/1oNM0qxQ0MtoaHpjVMQ4cc603hyFZ1GMl/view?usp=drivesdk,"[""Payal Malik"", ""Nikita Jain""]"
01_03_2024_40,BJP's manifesto on defence,https://drive.google.com/file/d/1_5bpub2NDkwcWLEHIsZi9GJFEpjzzZQJ/view?usp=drivesdk,"[""Ajai Shukla""]"
01_03_2024_41,Lighter EVs will drive the future of mobility,https://drive.google.com/file/d/1pEOl7YRMUWAZ_3j5t5gOSHChR3nIELOG/view?usp=drivesdk,"[""Gagan Agrawal""]"
01_03_2024_42,"Navalny's death, a crisis moment for democracy",https://drive.google.com/file/d/1hsZ_qo_NP39spauhcmECgYSorzQ7D-qk/view?usp=drivesdk,"[""Sreeram Chaulia""]"
01_03_2024_43,Rise of the affluent is the real India growth story,https://drive.google.com/file/d/1n-Z4nhSQK_gD07DrOOrOxqs8_0MXKRNF/view?usp=drivesdk,"[""Maitreesh Ghatak""]"
01_03_2024_44,How to reduce cheating,https://drive.google.com/file/d/1CtTQd37rtxvKWAYzPaU-q4WW1wB9-qew/view?usp=drivesdk,"[""R Subrahmanyam"", ""Arjoma Moulick""]"
01_03_2024_45,The turbulent country,https://drive.google.com/file/d/1fpFRR2_Uk-Ic3J4CZgIjfyypPw_S7nhz/view?usp=drivesdk,"[""Sharat Sabharwal""]"
01_03_2024_46,Chipping away at the Bench,https://drive.google.com/file/d/1zuyQE5O8Ilh6lHBjnIjqm7c1uFm-Z-zT/view?usp=drivesdk,"[""V Chitambaresh""]"
01_03_2024_47,The nari shakti fiction,https://drive.google.com/file/d/12GEfE8qXuk5UasAQ1k-aS0bqepxkTYm0/view?usp=drivesdk,"[""Derek O'Brien""]"
01_03_2024_48,Lure of the magic cure,https://drive.google.com/file/d/199n4oEOPz6diXiUnmn-wwvD3pExBQ2EE/view?usp=drivesdk,"[""Shailaja Chandra""]"
01_03_2024_49,Cars now more software than hardware: why Apple unplugged EV plans,https://drive.google.com/file/d/1ihKjYRgDkgErsBEfZSoK3ZiVqA76tj6y/view?usp=drivesdk,"[""Anil Sasi""]"
01_03_2024_50,The hydrogen-powered ferry PM launched,https://drive.google.com/file/d/1hb3dxm3Vu_uLfxp0bP9Qgz_Wqhe33B5f/view?usp=drivesdk,"[""Shaju Philip""]"
01_03_2024_51,"Mauritius, Maldives, and India",https://drive.google.com/file/d/1GVYIwLfXsjGQnfrhfZyhW8oKvQLzgolA/view?usp=drivesdk,"[""Shubhajit Roy""]"
01_03_2024_52,Why homosexuality is found `naturally' in the animal kingdom,https://drive.google.com/file/d/1egfDie0Y4HGEBxNzuNts1xhwMuE-Nivg/view?usp=drivesdk,"[""Arjun Sengupta""]"
01_03_2024_53,"Korean engine, Indian soul",https://drive.google.com/file/d/11SvOt5ZkjjPfgvWVpR3XSMa_T8sFWuB0/view?usp=drivesdk,"[""Henny Sender""]"
01_03_2024_54,"Win the battle, lose the war",https://drive.google.com/file/d/17bNOjXTuOd1gWLSqVLPxn7S9YpXdx1dH/view?usp=drivesdk,"[""Sandeep Parekh""]"
01_03_2024_55,Does AI dream of digital sheep?,https://drive.google.com/file/d/1T39duyb2mqBGtcTCk4K2GYf0P4EWcAlg/view?usp=drivesdk,"[""Saai Sudharsan Sathiyamoorthy""]"
01_03_2024_56,How to train our sights on the dragon,https://drive.google.com/file/d/1cJOQ0eXgFf0x_rIVF219fjnz1kAnkuld/view?usp=drivesdk,"[""Manish Tewari""]"
02_03_2024_1,"Democracy, Development, Governance",https://drive.google.com/file/d/12RqP_KzT-gFgkVZwb2cp9uMVdthJ164f/view?usp=drivesdk,"[""B Yerram Raju""]"
02_03_2024_2,Fragile Ties- I,https://drive.google.com/file/d/1JduBJP6cdnzCDX3UMSlF70X9sRO_jinc/view?usp=drivesdk,"[""Arun Kumar Banerji""]"
02_03_2024_3,Can a two-state solution work?,https://drive.google.com/file/d/1v8vNneGuAHGy6wDmrytYlLLoQ6YABRKv/view?usp=drivesdk,"[""Tariq Suleman""]"
02_03_2024_4,Why do Indians do better abroad than in India?,https://drive.google.com/file/d/1Na-JErNuL0wK5mnGvbejWoqwqyuR4cYI/view?usp=drivesdk,"[""Radhika Shrivastava""]"
02_03_2024_5,Indian diplomacy: leveraging soft power,https://drive.google.com/file/d/1AS3k0eeN8z3vg4u8p6ePE_4071r1wn51/view?usp=drivesdk,"[""Santosh Mathew""]"
02_03_2024_6,Delhi's floral splendour: a tale of tulips and traditions,https://drive.google.com/file/d/1mu5uMQSzlxTAzPuKCXVsyQjvcTpgcICJ/view?usp=drivesdk,"[""Rajdeep Pathak""]"
02_03_2024_7,MSP methodology and farmer demands,https://drive.google.com/file/d/1KaLgHFG7LB18EftohfOn8Vj8D1MGA3VU/view?usp=drivesdk,"[""Uttam Gupta""]"
02_03_2024_8,A tug-of-war for fair shares,https://drive.google.com/file/d/1WmILsvhQm4Taisgh9GYIl8bGJGh40eZk/view?usp=drivesdk,"[""Misha""]"
02_03_2024_9,Is turbulent the new normal?,https://drive.google.com/file/d/1O8V06zGoBhVNe6B2T6nXKP2OfuXzKR6B/view?usp=drivesdk,"[""Harsh V Pant"", ""Kalpit Mankikar""]"
02_03_2024_10,Shamima Begum a terrorist threat or victim of ISIS? Britain is divided,https://drive.google.com/file/d/1bUXPcXppVloVoifP1lN4CMUGCgEq0-w_/view?usp=drivesdk,"[""Farrukh Dhondy""]"
02_03_2024_11,The politics behind India's rural and urban spending,https://drive.google.com/file/d/10o5rZDc4eA0GzxJ8I1cktUkmjZv809YV/view?usp=drivesdk,"[""Sanjeev Ahluwalia""]"
02_03_2024_12,How to not get caught boycotted,https://drive.google.com/file/d/16GNEfIR-fZOM4l-VmHepH1Fqaz3eKr04/view?usp=drivesdk,"[""M Muneer""]"
02_03_2024_13,Give up Moody and Poor Standards,https://drive.google.com/file/d/1ADyy0cn8EDIWZWovxq7Or5jTMoTzcyEb/view?usp=drivesdk,"[""Nilesh Shah""]"
02_03_2024_14,All we need is Radio Ga Ga,https://drive.google.com/file/d/1HDuIaAZCF1XrmajGkkYb2TpxCkWwhJZW/view?usp=drivesdk,"[""Prasoon Joshi""]"
02_03_2024_15,Mantra for India Inc: CSR funds for vedic chanting,https://drive.google.com/file/d/1noil8063IydaXGDKjpmy-vZOpJR3vhB4/view?usp=drivesdk,"[""S N Ananthasubramanian""]"
02_03_2024_16,"Open AI, not OpenAI",https://drive.google.com/file/d/1GzOPbhATbzrmkoE2mJPsYoLrA5xUkLkm/view?usp=drivesdk,"[""Mishi Choudhary"", ""Eben Moglen""]"
02_03_2024_17,Why politicians defect,https://drive.google.com/file/d/16EtWFRAZY1CF46FKLMy_bLqZbUGMphCD/view?usp=drivesdk,"[""Shekhar Gupta""]"
02_03_2024_18,Japan as number four,https://drive.google.com/file/d/1Vcgdl2K2RvEn3GnwvV8uembsFt_uvNrh/view?usp=drivesdk,"[""Takatoshi Ito""]"
02_03_2024_19,The global orders,https://drive.google.com/file/d/1APikRGIWFEqETF87Os8O25mU3Q3vbxAa/view?usp=drivesdk,"[""Mohammed Soliman""]"
02_03_2024_20,On the upside,https://drive.google.com/file/d/1uJqLXoy4vnMlOBGnXCc5uUf-9T0sRfAX/view?usp=drivesdk,"[""Dharmakirti Joshi""]"
02_03_2024_21,Death of a US airman,https://drive.google.com/file/d/1qKbnP7ZGFGLu_4aD1lFJQLnfhjVw65JW/view?usp=drivesdk,"[""Aakash Joshi""]"
02_03_2024_22,Blue water power,https://drive.google.com/file/d/1svEcB7EVmIUpyIc5g9JHo0ddn5BV25Mi/view?usp=drivesdk,"[""Ram Madhav""]"
02_03_2024_23,"Intelligence, as we don't know it",https://drive.google.com/file/d/1Y_Ta46gbN1EH64OPzIqxlU_Si9eohhxR/view?usp=drivesdk,"[""Menaka Guruswamy""]"
02_03_2024_24,Development of Agalega and India's vision for its maritime neighbourhood,https://drive.google.com/file/d/1HjVvHJt2QHAmh9TTbz-yCcTnPpELypS6/view?usp=drivesdk,"[""Biswajit Dasgupta""]"
02_03_2024_25,"Growth, based on GDP, GVA",https://drive.google.com/file/d/19hDVWIPnCpfUtBJ8GaDqTTOqxpuJR319/view?usp=drivesdk,"[""Aanchal Magazine""]"
02_03_2024_26,Improvised explosive device,https://drive.google.com/file/d/1IMbSiAHEq3PV0dQuCt_qQg1JhkEnF9r9/view?usp=drivesdk,"[""Anonymous""]"
02_03_2024_27,"A stay can't be time-bound: what SC ruled, why it matters",https://drive.google.com/file/d/18fU9nObyLF6cLM71TLdAKPCZh-b1q2EB/view?usp=drivesdk,"[""Apurva Vishwanath"", ""Ajoy Sinha Karpuram""]"
02_03_2024_28,India's burgeoning death penalty crisis,https://drive.google.com/file/d/1vvsSGNngWCqNTmImUZyi58nFQW6dRWHC/view?usp=drivesdk,"[""Lakshmi Menon"", ""Snehal Dhote""]"
02_03_2024_29,Change and continuity in India's Palestine policy,https://drive.google.com/file/d/1H6Cc7a8iKdUA927RWqJh-BwJX695YaNP/view?usp=drivesdk,"[""Stanly Johny""]"
02_03_2024_30,India's parched IT capital,https://drive.google.com/file/d/1ogeJkCqYimtcHVcK1rLFyrIinKMB7KLc/view?usp=drivesdk,"[""K C Deepika"", ""K V Aditya Bharadwaj""]"
02_03_2024_31,"Cross voting, whips and voter paradoxes",https://drive.google.com/file/d/1IIGSnUkWgMOQ9iy2IfoeCzZFy1tmcDEm/view?usp=drivesdk,"[""T C A Srinivasa Raghavan""]"
02_03_2024_32,The people who influenced Jamsetji Tata,https://drive.google.com/file/d/18vaNXXj1sF24Dqifed1k5GvsK1J2cCsw/view?usp=drivesdk,"[""Harish Bhat""]"
02_03_2024_33,Genocide case a test of ICJ's role as world court,https://drive.google.com/file/d/1hmx4AhQYTWnyPc4zsEBxRJ9wM8zROjg8/view?usp=drivesdk,"[""Jyoti Singh""]"
02_03_2024_34,Let us not be poor in how we measure poverty,https://drive.google.com/file/d/1q68qaPDIvYdMfC7dqVNCkuvyBCya93f8/view?usp=drivesdk,"[""Bibek Debroy""]"
02_03_2024_35,"Push for renewable energy welcome, but focus on adaptation",https://drive.google.com/file/d/1SyCaWltj_79KJ9iVcGRrQLa5mNZh8YYq/view?usp=drivesdk,"[""Suruchi Bhadwal""]"
02_03_2024_36,India needs to get its strategy right amid global churn,https://drive.google.com/file/d/1PsLm2sdD-oWm_9mxWJF4qVkpuqZ8Emhx/view?usp=drivesdk,"[""Manmohan Bahadur""]"
02_03_2024_37,Reclaiming justice: Urgent calls for police accountability and reform to combat human rights abuses and false charges,https://drive.google.com/file/d/1BjbBl6mJJNcaj_ilXuxXD4OMWiyu1GlK/view?usp=drivesdk,"[""Abhinav Pandey""]"
02_03_2024_38,The so-called `idiot-syndrome'- a matter of concern,https://drive.google.com/file/d/1-4ph7qcKOxr4ZGNQPlF6lXfR2Mnwq5w2/view?usp=drivesdk,"[""K K Talwar""]"
02_03_2024_39,How India becomes nuclear energy rich state,https://drive.google.com/file/d/16fK-Sa8B6sfssH9bsjB8J-5rULM2jGcR/view?usp=drivesdk,"[""Anonymous""]"
03_03_2024_1,Questions on role of Shukla in HPÖ Prawn excuse for Sandeshkhali grab,https://drive.google.com/file/d/1GCtmOKo_LtieBdcOFH1fTKKxZ9cV2N5o/view?usp=drivesdk,"[""Anita Katyal""]"
03_03_2024_2,"Bonds, not black money, gone: All eyes now on EC",https://drive.google.com/file/d/1oEaNHoWSN6CYs_v1B0-SsVULuj9H50c0/view?usp=drivesdk,"[""Pavan K Varma""]"
03_03_2024_3,Poisons and poisoners,https://drive.google.com/file/d/1eh6J1TEb68-WSMwj8S09fazVDC2YDOnm/view?usp=drivesdk,"[""Pramod K Nayar""]"
03_03_2024_4,Fragile Ties- II,https://drive.google.com/file/d/18xvEVoE5sbuzrKODceEKn0o9czLzuUDO/view?usp=drivesdk,"[""Arun Kumar Banerji""]"
03_03_2024_5,Lessons for the rest from depression in the West,https://drive.google.com/file/d/1LvB5JuFYg7G2oc2K7XICJNMS8-rDfnsh/view?usp=drivesdk,"[""Bharat Dogra""]"
03_03_2024_6,Karnataka farm distress requires urgent relief,https://drive.google.com/file/d/1RfUit_SmE8GPTQpC8uQ1-_hdvftoR0qu/view?usp=drivesdk,"[""R S Deshpande""]"
03_03_2024_7,Colosseum cricket,https://drive.google.com/file/d/1J5idvTygfCNqaAQ8PmEnbJPSTMTF6UC-/view?usp=drivesdk,"[""Mukul Kesavan""]"
03_03_2024_8,Indicators of climate change,https://drive.google.com/file/d/1HMTZV2wQIF_O11347VlpeSG4M7KTb1jw/view?usp=drivesdk,"[""Elizabeth Duncan""]"
03_03_2024_9,Why fly when you can drive? It's the golden age for road tripping,https://drive.google.com/file/d/1V2ydzb7taaSpkKeSOphUFWVxH1nsvHC4/view?usp=drivesdk,"[""Sneha Bhura""]"
03_03_2024_10,"Meet the people who are regreening India, one DIY forest at a time",https://drive.google.com/file/d/18mNzqluiz5AUIvyGPFRd1TdC4uRYjwKq/view?usp=drivesdk,"[""Shruti Sonal""]"
03_03_2024_11,"Some do savings, some do shami",https://drive.google.com/file/d/1YcwZOuMVurHTZ5kBqauMBIwt3oMnaQRb/view?usp=drivesdk,"[""Abhijit Banerjee""]"
03_03_2024_12,Manufacturers must take issue of colour quality seriously,https://drive.google.com/file/d/1HYLUjs9d_SWv_Ku4HyJoiARrUsuagH1H/view?usp=drivesdk,"[""Pushpa Girimaji""]"
03_03_2024_13,Edtech muddle,https://drive.google.com/file/d/1W1n5BLnbrTQxsbfPG2GdoXujclaNz32c/view?usp=drivesdk,"[""Animesh Singh""]"
03_03_2024_14,The role of composable architecture in your digital transformation journey,https://drive.google.com/file/d/1w7ScotNCE9Fw0nqePwEgdXjAcM2943m5/view?usp=drivesdk,"[""Mayank Mishra""]"
03_03_2024_15,NOTA: the silent revolution or the illusion of choice?,https://drive.google.com/file/d/1_SJC0IHmFJi6ptnvVcM2X15TSB0l0Opg/view?usp=drivesdk,"[""Astha Ranjan""]"
03_03_2024_16,Slow return of the Indian joint family,https://drive.google.com/file/d/1v5HAF07dh2p0_Ho0G4shYM2h6GuWnnDT/view?usp=drivesdk,"[""Anuradha Goyal""]"
03_03_2024_17,Coexisting with tigers in the Anthropocene age,https://drive.google.com/file/d/1OPv7lck3lWQjCeHzQYOtpWmZf_9HloUE/view?usp=drivesdk,"[""Rajesh Gopal""]"
03_03_2024_18,Learning from Jakarta on simultaneous polls,https://drive.google.com/file/d/15uCHq8Q0hrb0_aGW1TqbcEid-FTIXz_0/view?usp=drivesdk,"[""Gurjit Singh""]"
03_03_2024_19,New Delhi's balancing act in chaotic West Asia,https://drive.google.com/file/d/1wmuMk7o9UXT75p1WSgJDn3fi3NcYzbhX/view?usp=drivesdk,"[""Manjari Chatterjee Miller""]"
03_03_2024_20,Why did the Court penalise Patanjali?,https://drive.google.com/file/d/1EHzEgpYIZ-Zbl3ISD9pVO0elnEulB87H/view?usp=drivesdk,"[""Saumya Kalia""]"
03_03_2024_21,What will Gaganyaan change for India?,https://drive.google.com/file/d/17ugRa1qLEaAXXbkk4y-S3iSOLTbnryLP/view?usp=drivesdk,"[""Vasudevan Mukunth""]"
03_03_2024_22,The resolutions against Centre's border plan,https://drive.google.com/file/d/1yFX9KrV8KYsIvHzg2CiIBq6-uN4X6Ywb/view?usp=drivesdk,"[""Rahul Karmakar""]"
03_03_2024_23,A M Khanwilkar- From SC to Lokpal,https://drive.google.com/file/d/1nIpt0CWlvqqAJKhWZF_F8pIhVq9x8-ci/view?usp=drivesdk,"[""Krishnadas Rajagopal""]"
03_03_2024_24,The chosen four,https://drive.google.com/file/d/1jnZkNPArm-MhvGcmkbsJWp2-S6cKTpHf/view?usp=drivesdk,"[""Vasudevan Mukunth""]"
03_03_2024_25,Just two US lawmakers for arms curbs on Israel,https://drive.google.com/file/d/1_eH8XV7m_fpFQu52gd8WcOsH5fpirkbh/view?usp=drivesdk,"[""Jake Johnson""]"
03_03_2024_26,No knowledge beyond Astagiri,https://drive.google.com/file/d/1aswJDrH-WXFevvuHER-B928vzXj7gUzE/view?usp=drivesdk,"[""Vanam Jwala Narasimha Rao""]"
03_03_2024_27,There are no poor in India,https://drive.google.com/file/d/1RmJnAubc6i3BPSK4QIXRUxxmTMQO-fXr/view?usp=drivesdk,"[""P Chidambaram""]"
03_03_2024_28,The one thing that can slow AI's breakneck speed,https://drive.google.com/file/d/1ABJeCRdW7DOv_5Wh9zdYzXYzQ7AxhrTb/view?usp=drivesdk,"[""Ateesh Tankha""]"
03_03_2024_29,"Poor little gemini, it tries, tries, tries",https://drive.google.com/file/d/1PJJwVCGzEMgiRUT4FORPPBaVslbEu9K3/view?usp=drivesdk,"[""Indrajit Hazra""]"
03_03_2024_30,The very cheesy business of passing off doosri cheez as asli cheese by brands,https://drive.google.com/file/d/1egEdxZ8iBDdXoPTE-3ck7DwMpQ-lQUsU/view?usp=drivesdk,"[""Ambi Parameswaran""]"
03_03_2024_31,"60 years ago, when an RS election was declared void",https://drive.google.com/file/d/1tfDCNT7Dr29MsQWogJmpmkgRGIAdjHlP/view?usp=drivesdk,"[""Chakshu Roy""]"
03_03_2024_32,Poykayil Appachan's legacy is still a beacon of hope,https://drive.google.com/file/d/1HYFY-fuveswak4SpylqBH8tQuOcIjHaI/view?usp=drivesdk,"[""Abhilash V V""]"
03_03_2024_33,Empowering every househole: foundation of PM Modi's vision of Viksit Bharat,https://drive.google.com/file/d/13q-NgtQj8fEPvCXpCpTU6sXVsgJPFD2h/view?usp=drivesdk,"[""Lakshit Mittal""]"
03_03_2024_34,Avoid biases in investment decision-making,https://drive.google.com/file/d/1AnO4CGvEvE3rSW5ZZxI-WKtBi67z5LOi/view?usp=drivesdk,"[""Jyoti Kumari""]"
04_03_2024_1,"Farmers' protests, MSP, and wages",https://drive.google.com/file/d/1Z1HUXAIlsP0xNrV9cxoNQ_J7Tyl2d9QP/view?usp=drivesdk,"[""Ashok Gulati"", ""Manish K Prasad""]"
04_03_2024_2,Is RBI's intervention approach harmful?,https://drive.google.com/file/d/1ssV2kaVEGRxtMYXt_stMIVSEdFioNyXZ/view?usp=drivesdk,"[""Jamal Mecklai""]"
04_03_2024_3,Denying mental illness has grave consequences,https://drive.google.com/file/d/1TGNSai3rvAzhMPpyT1uAl1bA_VqJ-bhv/view?usp=drivesdk,"[""Shailesh Umate""]"
04_03_2024_4,India's `Act East' policy faces uncertain times,https://drive.google.com/file/d/1c-QTuZ72EGTBGhFInqw3uzqgmanerl6R/view?usp=drivesdk,"[""Jayanta Roy Chowdhury""]"
04_03_2024_5,A widening gulf: India's trade policy needs a fix,https://drive.google.com/file/d/1mkoLYFpZ9mgT42TJ3YGfO5jjZuCQ6oxA/view?usp=drivesdk,"[""Sanjaya Baru""]"
04_03_2024_6,Fragile Ties- III,https://drive.google.com/file/d/1U04TW3Py1HSKNpAqSPbEz05ei65DBBj_/view?usp=drivesdk,"[""Arun Kumar Banerji""]"
04_03_2024_7,Is the US overestimating the threat from Beijing?,https://drive.google.com/file/d/1oGpFlEPhAx0hvYdVWrHhDz8xFGvtmWB8/view?usp=drivesdk,"[""Dan Murphy""]"
04_03_2024_8,The Greek presence at Raisina Dialogue,https://drive.google.com/file/d/1Z41aa3KFNXTtpY2Vq_eG14XWXj_JGiTD/view?usp=drivesdk,"[""Umang Kohli""]"
04_03_2024_9,Creating awareness about menstrual rights among men,https://drive.google.com/file/d/10M7pcw5dngxZZb6YOrd2lZzH5mB_Kra2/view?usp=drivesdk,"[""Qamarun Nissa""]"
04_03_2024_10,The inspiring saga of the Goat Bank,https://drive.google.com/file/d/1Y7isyPEaEJnBtWO5F6zrDv4lLpOLVzJE/view?usp=drivesdk,"[""Parag Acharya""]"
04_03_2024_11,Celebrate imperfect journeys,https://drive.google.com/file/d/1rmjfT9gPRymqiZ3Z_osT8B48EfuP_9PD/view?usp=drivesdk,"[""Viiveck Verma""]"
04_03_2024_12,Do we really have any field of work that is lucrative?,https://drive.google.com/file/d/1a_MIkEIzojFwFO-RYhdAdpK7QfLC3NTl/view?usp=drivesdk,"[""Manu Joseph""]"
04_03_2024_13,We balanced domestic interests with our trade needs at the WTO,https://drive.google.com/file/d/1x_I3o57ZvLHsZoMDSYhOprJoys5gOVsp/view?usp=drivesdk,"[""Arpita Mukherjee""]"
