__v,_id,bpne,btar,btle,id3,ida,marg,njs,nws,opd,opn1,opnb,opnn,pnt1,pnt2,pnt3,pnt4,pnt5,sarg1,sarg2,sarg3,texp,trm
0,62184dab1d15946c8ec50974,,,,"Policy issues in Information Technology including cross border data flows, Artificial Intelligence (AI) and Internet of Things , (IoT), etc.",O0010,,Business Line,,25/02/2022,The government’s draft on the ‘India Data Accessibility and Use Policy’ is a move aimed to ensure more effective data-based governance paradigms for better and more broad-based governance. Issues of cyber security have not been addressed by the policy. This could have consent-related ramifications from the perspective of users. This policy could also have a direct conflict with the provisions of the Indian cyber law and the rules and regulations made there under. It could also compromise due diligence by the government in its capacity as an intermediary.,#INDUSTRY_EXPERTS,On the draft India Data Accessibility and Use Policy,,,,,,,,,,
0,62184fe91d15946c8ec50976,,,,Edible Oils,O0011,,Business Line,,25/02/2022,"The government needs to focus on measures such as a targeted approach, crop diversification, recalibration of minimum support price (MSP) and providing a technological push to increase edible oil production in the country. Mustard should be promoted in rabi as a replacement for wheat, and corn during kharif. Mustard will increase oil availability and corn can get diverted to ethanol. MSP has been a time tested and successful tool in increasing production over the years. However, we feel time has come to look at this MSP tool not only as an incentive but also as a disincentive. We also need to evaluate whether 23 crops need MSP announcement or it should be limited to what the nation wants. Edible oil import duties should be kept relatively high to ensure farmers are sufficiently enthused and the Government need not defend MSP by buying the produce and market forces can take care of procurement.",#OIL_LOBBY,On boosting edible oil production,,,,,,,,,,
0,6218508e1d15946c8ec50978,,,,Financing the MSME sector; its growth and regulation,O0012,,Business Line,,25/02/2022,"The prime focus of the Tamil Nadu State budget should be to facilitate investment, especially in the central and southern districts of Tamil Nadu to ensure equitable growth. Also, more focus must be given to Micro, Small and Medium Enterprises sector as it ensures job creation which is the need of the hour in these challenging times. Further, MSMEs need a special helping hand and should be exempted from approvals and inspections for the next three years under the State laws. For ease of doing business, Government should allow all companies to avail self-certification wherever possible for all licenses and renewals. The Authorised Economic Operator (AEO) programme by Customs is a successful example in this direction. The government needs to digitalise licencing processes through the Tamil Nadu Single Window Portal and manual submissions may be discontinued. The State government needs to identify and convince the industries both domestic and international) who are interested in starting PLI units and to provide necessary support in infrastructure and policy related matters.",#CONFEDERATION_OF_INDIAN_INDUSTRY,On boosting Tamil Nadu Economy,,,,,,,,,,
0,621850ed1d15946c8ec5097a,,,,"Inter-sectoral review of challenges of emerging and converging technologies, entities and practices",O0013,,Financial Express,,25/02/2022,"The growth in digital advertising has been steady, at 25-30% year-on-year, barring 2020. Online video is a dominant part of digital advertising, spanning from long-form videos on OTT platforms to short-format videos on social media. The latter is highly popular in non-metro markets. We are now seeing the rise of video-led commerce that is driving everything from awareness to purchase. One can now include shoppable features on videos, thus reducing friction points in the consumer's purchase journey. The digital ad buying ecosystem is full of middlemen. The transaction between market and the publisher is full of middlemen. One way to bring transparency here is through the application of the decentralised block chain technology.",#INDUSTRY_EXPERTS,On digital advertising ecosystem,,,,,,,,,,
0,6219c5bd62e9219ca28c5bde,,,,State of Indian Economy,O0014,,Business Line,,2022-02-26T00:00:00.000Z,"No one country today can plan for its recovery, particularly in an age when value chains have already brought us closer to each other. In order to recover following the Covid-19 pandemic, there should be investment for transition towards greener energy, investments for infrastructure building- soft human power as well as hard, asset creation and also greater investments in health and education, along with gender parity in the light of India's commitment to climate change. Economic recovery is not just about manufacturing but also investing in research and development. Manufacturing should not just be limited to tools but also drugs, chips, hydrogen and high chemistry materials.",#UNION_FINANCE_MINISTER,On recovery of Indian Economy,,,,,,,,,,
0,6219cc1c62e9219ca28c5be0,,,,"Vaccine Development, Distribution Management and Ministry of Pandemic Covid-19",O0015,,Business Standard,,2022-02-26T00:00:00.000Z,"The pandemic has opened up opportunities for the pharmaceutical sector to emerge as a second source of raw material and finished products after China. To tap into this potential, production-linked incentive (PLI) scheme for the industry needs be expanded to link it to research, and more specifically, for research in biologics and biosimilars. There is a huge growing interest in combination immunotherapies. But, the PLI scheme is skewed towards generic drugs. A huge emphasis is given to ANDAs (abbreviated new drug applications). There should have been a much greater allocation for biologics, biosimilars, cell and gene therapies. We are talking about atmanirbhar in terms of what we don’t produce — chemical, and generic drugs. PLI schemes need to evolve with time. We can have a research-PLI scheme, where research could be included in the PLI scheme.",#INDUSTRY_EXPERTS,On moving towards large molecules of biologics,,,,,,,,,,
0,621a01fccca56dd49f6be8f8,,,,Others,O0016,,Business Standard,,2022-02-26T00:00:00.000Z,"Although India’s reliance on Russia has been declining, Russia still accounts for most of India's arms imports. An analysis of data from Stockholm International Peace Research Institute (SIPRI) shows 49.4 per cent of India’s arms imports between 2016 and 2020 were from Russia, and 0.5 per cent were from Ukraine. In the previous five years, between 2011-15, Russia accounted for 69.6 per cent of India's total arms imports. In 1996-2010, the share was 70 per cent. On average a month, India imported 200,000-225,000 tonnes of sunflower oil, of which almost 70 per cent came from Ukraine and 20 per cent from Russia while the balance 10 per cent from Argentina.",#EXPERTS,On India's dependence on Russia-Ukraine,,,,,,,,,,
0,621a0737cca56dd49f6be8fa,,,,Others,O0017,,Business Standard,,2022-02-26T00:00:00.000Z,"Society for Worldwide Interbank Financial Telecommunications (SWIFT) connects more than 11,000 financial institutions around the world. 
It is viewed as a potential nuclear option in the world of sanctions because, blocking Russia from SWIFT, would essentially sever the nation from much of the global financial system. It would curb Russia's ability to conduct international financial transactions by forcing importers, exporters and banks to find new ways to transmit payment instructions. Because of Europe’s heavy reliance on Russian energy exports, there is a reluctance among some euro area leaders to take that step and risk those purchases by making doing business with Russia more costly and complicated.",#CYBER_EXPERTS,On blocking Russia from SWIFT,,,,,,,,,,
0,621a0cf6cca56dd49f6be8fc,,,,Status of Veterinary Services and Availability of Animal Vaccine in the Country,S0004,,,ICAR-NBAGR has recently launched a study of the Kombai breed of dog under a project to document the indigenous dog breeds.,2022-02-26T00:00:00.000Z,,,,"ICAR started registering the indigenous breeds in 2008 to protect the rights of farmers who had been maintaining cattle, buffalo, goat and sheep. Dogs were included in 2020. ",Dog breeds recognised so far include Rajapalayam and Chippiparai dogs of Tamil Nadu and Mudhol Hound of Karnataka.,"Kombai dogs are well-known for their ability to overcome almost any obstacle in their path. Though Kombai refers to a small town in Theni district, the breed is distributed throughout the southern districts. Apparently, local rulers, the poligars, fancied them so much that they would. with alacrity, exchange a horse for a Kombai dog.",,,,,,,
0,621a17bdf3bdfaebf8c27e81,,,,Others,O0018,,Indian Express,,2022-02-26T00:00:00.000Z,"Instead of thinking about glass ceilings, we should think about sticky doors. Women need to organise more, recognise their worth as workers. They talk about themselves as housewives and mothers but the first identity is never that of a worker or a producer. They need to be organised as categories. It is ridiculous that we celebrate ASHA workers at last mile deliverers but they don't have a salary. They are given incentives based on the work they do. We need to work on digital and financial literacy and ensure that minimum wages are paid. We should make jobs lucrative to women. We must also make it lucrative for the industry to hire women as well besides removing disabling barriers. The structural reform of formalisation, urbanisation, industrialisation, financialisation and human capital is what we need to do.",#EXPERTS,On getting women back into workforce,,,,,,,,,,
0,621a2368bd2ce523499dcf94,,,,Review of cyber security scenario in India,O0019,,The Hindu,,2022-02-26T00:00:00.000Z,"Social media had been flooded with misinformation on Russia-Ukraine conflict. This had added to the panic as lot of old videos and images have been circulated. The ARMA video game footage makes a comeback wherever there is violence. A 2015 twin explosion video from China has been passed off as an aerial conflict over Ukraine. To fight the spread of misinformation, social media platforms have been labelling content from state-controlled media and content that fact-checkers have rated false through their synthetic and manipulated media policy as well as platform manipulation policy.",#CYBER_SPECIALISTS,On spread of fake information,,,,,,,,,,
0,621a27eabd2ce523499dcf98,Context/Westland; 10 January 2022,Arvind Narrain,India’s Undeclared  Emergency: Constitutionalism and the Politics of Resistance,Review of Judicial Infrastructure,B0001,,,,,,,,,,,,,,,,,
0,621a297dbd2ce523499dcf9a,Aleph Book Company; 5 January 2022,Annie Zaidi,City of Incident: A Novel in Twelve Parts,Decongestion of cities for Smooth Flow of Traffic especially in metropolitan cities,B0002,,,,,,,,,,,,,,,,,
0,621a2c61bd2ce523499dcf9c,,,,Preservation and expansion of wildlife corridors,O0020,,New Indian Express,,2022-02-26T00:00:00.000Z,"No comprehensive EIA was carried out for the India-based Neutrino Observatory (INO) project in Tamil Nadu. Though the tunnel in which experiments would be conducted would lie about a km below the ground, there would be enormous allied establishments and activities, such as blasting, excavations, and movement of vehicles. Movement and placement of heavy and sophisticated instruments inside the tunnel and a security environment built all around would bring enormous disturbance to tigers and they will ultimately start avoiding this corridor and will have no other alternative for genetic dispersion.",#TAMIL_NADU_GOVERNMENT,On Environmental Impact Assessment for INO project,,,,,,,,,,
0,621a2ecebd2ce523499dcf9e,,,,Rebooting the Sports Facilities in Post Pandemic Era,O0021,,New Indian Express,,2022-02-26T00:00:00.000Z,"Entertainment and sport are also two great avenues for Russian youth, some of whom are opposed to war, and they may feel bad only if they are denied their YouTube and Spotify. There is something impermeable about sport, which can isolate itself readily, like a waterproof watch, from any of the ramifications of civilizational madness that may strike world leaders. We in India had the comfort of two great national integrators in Hindi film music and cricket even at the height of full-scale wars fought with prickly neighbours in the 1960s. Today, we have an even greater unifier in the high-octane sporting action of IPL cricket that has just released its 2022 schedule. Lights, camera, cricket then!",#EDITORIAL,On impact of war on youth,,,,,,,,,,
0,621af1b6ab54471c33ec05e9,,,,Indias preparedness for 5G,S0005,,,The demand for data centres of AI and ML among Government and educational entities is witnessing exponential growth which in turn is boosting the demand for supercomputers.,2022-02-27T00:00:00.000Z,,,,AI Research SuperCluster (RSC) is an AI supercomputer that is being built by Facebook-parent Meta which will be capable of performing quintillions of operations per second.,"PARAM Shivay, the first supercomputer assembled indigenously in India, was installed in IIT (BHU), followed by PARAM Shakti, PARAM Brahma, PARAM Yukti, PARAM Sanganak at IIT-Kharagpur IISER, Pune, JNCASR, Bengaluru and IIT Kanpur respectively.","PARAM Siddhi - AI , the high-performance computing-artificial intelligence (HPC-AI) supercomputer located in Pune, has achieved global ranking of 62 in TOP 500 most powerful supercomputer systems in the world, released on 16th November 2020.","AI supercomputers can perform tasks like translating text between languages, help identify potentially harmful content, help its researchers build better AI models that can work across different languages, seamlessly analyse text, images and video together, power real-time voice translations to large groups of people speaking different languages so that they can can collaborate on a research project and develop new augmented reality tools.",,,,,,
0,621af268ab54471c33ec05eb,,,,Others,S0006,,,The Centre is to hold peace talks with all Kuki militant groups and resolve their issues in the next five years.,2022-02-27T00:00:00.000Z,,,,"Kuki tribe is an ethnic group native to the Mizo Hills (formerly Lushai) in Mizoram. In northeast India, they are present in all states except Arunachal Pradesh.","For both Naga and Kuki nationalisms, the First World War was a watershed moment. During the War, the British was recruiting thousands of people from its empires to assist them in the war effort. The Nagas, were pressed into service as part of the Imperial Army’s Labour Corps, a vast body of men recruited to build roads, carry luggage and provide other kinds of logistical support. This brought together different Naga tribes, many of whom had previously been at war with one another, and helped consolidate a pan-Naga identity. For the Kukis, World War 1 was crucial because of their refusal to join the Labour Corps. Instead, they declared war on the colonisers in 1917. The conflict that followed lasted for two years and claimed many lives. It has been variously called the “Great Kuki Rebellion”, the “Kuki Rising”, the “Anglo-Kuki War” or the “Zou Gaal”.","Kuki resistance first emerged in the 18th century, according to Haokip, when fighters from the hill tribe attacked British subjects in the Chittagong Hill Tracts. It intensified after the Treaty of Yandabo, signed in 1826 and bringing to an end the First Anglo-Burmese War. Under the Treaty, the Burmese signed away large tracts of what is now India’s North East, including Assam, Manipur and the hill areas, to the British. There were periodic Kuki raids on British subjects after that, in 1845, 1847-48, 1849, 1850 and 1851. In the “Great Kuki Invasion of Tipperah” in the 1860s, 15 villages were burnt and around 185 British subjects killed.",,,,,,,
0,621af67d6605ed75969480fa,,,,Indias preparedness for 5G,T0004,,,,2022-02-27T00:00:00.000Z,,,,,,,,,,,,"Quantum Key Distribution Link (QKD) is primarily a mechanism to undertake secure communication which utilizes a cryptographic protocol involving various components of quantum mechanics. The technology enables two communicating sides to come up with random secret keys shared by both of them and known exclusively to them, so only they can use it to encrypt and decrypt messages, thus achieving a very highly-secure communication. In QKD, encryption keys are sent as ‘qubits’ (or quantum bits) in an optical fibre. The security of QKD stems from the ability to detect any intrusion on the QKD transmission. Because of the unique and fragile properties of photons, any third party (or eavesdropper) who tries to read or copy the photons in any way will change the photons’ state. The change will be detected by the endpoints, alerting them that the key has been tampered with and must be discarded. A new key is then transmitted. Moreover, since the keys generated are truly random, they are protected from future hacking attempts.",Quantum Key Distribution Link
0,621b41f214fec1190ba901e8,,,,Development and Conservation of Museums and Archaeological sites – Challenges and Opportunities,S0007,,,"Post-pandemic, the idea of an ocean burial chimes with a search for eco-friendly alternatives to traditional burial and cremation.",2022-02-27T00:00:00.000Z,,,,"Until recently, a disposition at sea usually involved one of two traditional methods- either committing a person’s body to the ocean, or scattering their ashes. Underwater inurnment in “memorial reefs” is now a third alternative.","A desire to return to the ocean goes back millennia, with evidence of sea burial in ancient Egypt and Rome. In the South Pacific, bodies would be placed in canoes and pushed out to sea, while scattering ashes in the ocean has long been widely practised in Asia.",,,,,,,,
0,621b454edc439553ba27b136,,,,Indias preparedness for 5G,O0022,,Business Line,,2022-02-27T00:00:00.000Z,"5G is going to disrupt all automobile, manufacturing and ancillary units. We are going to bring AI & ML on the shop floor and that will need massive computing power in real time environment. With the 5G roll out, we will be able to take real time decisions on Edge computer and our customers will start having distributed data centres instead of centralised ones.",#TOP_EXECUTIVE_HPE,On possible impact of 5G in manufacturing sector,,,,,,,,,,
0,621c209115ac67720727238a,,,,Implementation of Ayushman Bharat,O0023,,The Hindu,,2022-02-27T00:00:00.000Z,"During Covid times, a significant increase in herbal exports have been recorded. There has been immense recognition of India’s ayurvedic treatment. Health infrastructure in India must not be limited to the urban sector alone. ""One India; One Health” mission is essential to provide critical health services at block and district level as well. Rural dispensaries, healthcare centres and Ayush units need to be connected with the private and public hospitals through technology. Tele consultation, telemedicine and drone technology must be used to augment health services. The focus must be equally divided between health and wellness.",#PRIME_MINISTER,On Ayushman Bharat,,,,,,,,,,
0,621c311467b7ca0b0c6be911,,,,Role of Highways in Nation Building,O0024,,Business Line,,2022-02-28T00:00:00.000Z,"Airbag deployment is controlled by sensors that are managed by semiconductors. The worldwide chip shortage has already led to production losses for carmakers. An increase in the number of airbags per car could lead to a further increase in demand for semi conductors, which would further strain the supply chain. A draft notification issued on January,14 by the Ministry of Road Transport and Highways mandates that vehicles of M1 category (passenger vehicles up to eight-seater), manufactured from October 1, 2022 are to come fitted with six airbags that would provide safety to its occupants from frontal and side impact.",#INDUSTRY_EXPERTS,On airbags in vehicles,,,,,,,,,,
